,B.Cells.Memory,B.Cells.Naive,Plasma.Cells,T.Cells.CD8,T.Cells.CD4.Naive,T.Cells.CD4.Memory.Activated,T.Cells.CD4.Memory.Resting,T.Cells.Follicular.Helper,T.Cells.Regulatory.Tregs,T.Cells.gamma.delta,NK.Cells.Activated,NK.Cells.Resting,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.Cells.Resting,Dendritic.Cells.Activated,Mast.Cells.Activated,Mast.Cells.Resting,Eosinophils,Neutrophils
TCGA-OR-A5JM,0.00766307182409508,0,0.0129121810712839,0.0690098912540074,0,0,0.196584336909463,0.0351687741323524,0,0,0,0.128001870641736,0.104547534818781,0.197975927023179,0,0,0.0100792363584584,0.0376818484506678,0,0.152083031427707,0.04829229608827,0
TCGA-OR-A5JZ,0.0254858204418568,0.00478952895672629,0,0.0975125950140129,0,0,0.225939850491924,0,0,0,0.0637780356484202,0,0.0292774111167589,0,0.00926625122433416,0.408792852475725,0,0.0396074884959488,0,0.0955501661342919,0,0
TCGA-OR-A5LK,0,0.0045860894476441,0.0433657710214019,0.149384947420368,0,0,0.132721790365688,0.0251465320431747,0.00353545638045095,0,0.0248453518802823,0,0.0500676248331609,0,0.0129175835843517,0.424809313175692,0.00695871283588851,0.00217361438680851,0.00202399868119852,0.11746321394389,0,0
TCGA-PA-A5YG,0.00852254017580712,0.00559972650984716,0,0.182001759186371,0,0,0.0656143684351444,0.0081607036525595,0.004576675308918,0,0.0862951399826115,0,0.0287283027352703,0,0,0.38090955393183,0,0.00998955539321174,0.0244464278115002,0.195155246876929,0,0
TCGA-OR-A5J2,0,0.0221364277593447,0.151287437526309,0.11324338809002,0,0,0.138389259926034,0.0107314237290161,0,0,0.00660467225876633,0,0.0474206908296363,0,0.0164999082125404,0.444081502820336,0,0.0496052888479971,0,0,0,0
TCGA-OR-A5JF,0,0.0129020860977034,0,0.0661896765501896,0.10160299158394,0,0.281089159373212,0,0,0,0,0,0.0446313120916835,0,0.00222263789530478,0.31492352572312,0,0.118370736842038,0.058067873842808,0,0,0
TCGA-OR-A5JR,0.0145316045644376,0,0.000636741916389611,0.134157452146925,0,0,0.173295951297947,0.000525503927965549,0,0,0.118882203055063,0,0.0652752864147129,0,0,0.452244500595416,0,0.0213645204612623,0.0190862356198805,0,0,0
TCGA-OR-A5JS,0.0213933548068989,0.00959699122429649,0.0876893397400021,0.149415402531212,0.163897543739713,0,0.0302985957923094,0,0,0,0.0945614959114562,0,0.0877676655679396,0.000572936276681774,0,0.130872152857563,0,0.217621835490632,0,0.00631268606129588,0,0
TCGA-OR-A5K6,0.0156010943818369,0.00746667400670848,0.0332396034633692,0.0496726958207275,0.00217772369037455,0,0.0894077770885348,0.0160287966433751,0,0,0.0438577399571007,0,0.195060947159258,0.0180614935260538,0,0.376071144160697,0,0.12746670884126,0.0139934583848369,0,0.0118941428758669,0
TCGA-OR-A5KV,0.0122958614377998,0,0.0083003576201417,0.111362017771806,0.0279822110838147,0,0.27080075108017,0,0,0,0.00985632951479341,0.135779640015821,0.143832271909995,0.136566151379874,0,0,0,0.00173468288634935,0,0.141489725299436,0,0
TCGA-OR-A5KZ,0.0461694095090779,0,0.00820379630883176,0.182027052576255,0.038537111580472,0,0,0.0107522923970994,0,0,0,0.0631607278182049,0,0.230804697441054,0.0338538645072208,0.376360630329577,0,0,0.0101304175322067,0,0,0
TCGA-OR-A5L3,0.0165629247737199,0.00409314390286429,0,0.0776719975960289,0.0863130953760013,0,0.0752785155204859,0.0409428767125029,0,0,0.0255341759904428,0.0640530953694028,0.126630014478874,0,0,0.178830025261545,0,0.206686320407395,0,0.0947489392028937,0,0.00265487540784359
TCGA-OR-A5L8,0.0191225235921451,0.0478208346754003,0,0.0828799830246453,0.320139108662184,0,0.064652525233374,0,0,0,0,0.0670812147424366,0.101344375664521,0,0,0.253192217033688,0,0.0141948046119313,0,0.0295724127596746,0,0
TCGA-OR-A5LA,0,0.0117385613553523,0.028576602409466,0.117200484639686,0,0,0.154941030319079,0.0310317370374236,0.0215425831272245,0,0.0827092206861586,0,0.0296807164026383,0,0.0158709134931877,0.28146309193313,0.00458094451092559,0,0,0.220664114085729,0,0
TCGA-OR-A5LD,0.00689035458566775,0,4.4947171225874e-05,0.0365548862095907,0.0780802008106556,0,0.191588998424883,0.0418753533042362,0,0,0.044762126473936,0.0829486980916572,0.276702035867465,0.0792822647630439,0,0.0387727233746817,0,0,0,0.122497410922956,0,0
TCGA-OR-A5LJ,0.085850721812475,0,0.00314228903504634,0.272929037469953,0,0,0.0283408044549246,0.0696700486049748,0,0,0.0199389389105301,0,0.0357523845485654,0.03339217388061,0.010728072000922,0.120078078501314,0,0.18514745100135,0,0.118668584666385,0.0163614151129501,0
TCGA-OR-A5JJ,0,0.1781646052688,0.162927822801919,0.183149451627068,0,0,0.0354291214226876,0.0893077925772301,0.00664563500694198,0,0.088274465993332,0,0.0173975824472522,0,0.018393551119106,0.178417124471983,0,0.0205073055645316,0,0.0213855416991482,0,0
TCGA-OR-A5JQ,0.0373758543112132,0,0.0129155756193891,0.224342618746366,0,0,0.19593749318035,0.0345829751572738,0.0658737054723565,0,0.0675852577394355,0,0.0266289725997069,0,0.0681850284765533,0.182204702401108,0.00505598398095371,0,0,0.0793118323152942,0,0
TCGA-OR-A5K0,0,0.0810583191562189,0,0.0745482836571794,0,0,0.0684225595366824,0.0596501177627689,0,0,0.0318254441956291,0.0294202205323559,0.0313694144971214,0,0,0.292130538028015,0,0.282957042759007,0.0454894972092331,0,0,0.0031285626657888
TCGA-OR-A5KO,0.0685496366543466,0,0,0.0561928495455805,0.255383125372397,0,0.15170000636542,0,0,0,0.0424752837515582,0.0384727821946611,0.0696292014799908,0.109299842440443,0,0.116428429946417,0,0.0844287469037768,0,0.00744009534540856,0,0
TCGA-OR-A5L6,0.00768464446240344,0,0,0.0762213805504702,0,0,0.223653257634202,0,0,0,0.0624244209947563,0.0570800212253924,0.055110464273114,0,0,0.439331866464139,0,0.0424535109074154,0,0.0360404334881065,0,0
TCGA-OU-A5PI,0.102236039186359,0,0,0.136304601372847,0.0444372618198157,0,0.0747993234113251,0,0,0,0.0639815799095798,0,0.117990364668687,0,0,0.446475572380922,0,0.00244561428825432,0,0,0.0113296429622096,0
TCGA-OR-A5JP,0.104977386801726,0,0.00638673444671815,0.0331220459897041,0,0,0.28385223114625,0,0,0,0.013920771998083,0.0506185082812299,0.0805517495916639,0.174457800747495,0,0.222214398041224,0,0.00986992359720452,0,0.0200284493587015,0,0
TCGA-OR-A5JW,0.0132909733311787,0,0,0.0185138167607151,0.0850625031776608,0,0.174728111293182,0.00136632049777936,0,0,0,0.0699511315108668,0.0725248061296518,0,0.00185997719867611,0.502406291395549,0,0.0258333360382317,0,0.0235064776549068,0.00406763943425051,0.00688861557735147
TCGA-OR-A5K2,0.0875093281343338,0.00585060893266613,0.0399994399445384,0.0491242936412446,0,0,0.0809647483181195,0.040746019892487,0,0,0.0357015257275251,0,0.117649778879031,0,0.00266856805456032,0.298657075021651,0,0.159889157529622,0.0227373118914088,0,0.0585021440328124,0
TCGA-OR-A5K4,0,0,0.00437594505088057,0.172341720006903,0.146698207109059,0,0,0.054297692029894,0,0,0.0737259672718084,0,0.0565064015438846,0,0.00125807991652838,0.382235683297596,0,0.0393189087855263,0,0.0692413949879203,0,0
TCGA-OR-A5LP,0,0.00705276911704808,0.0051779212320547,0.0595130564340377,0,0,0.163196849086478,0,0,0,0.0494150379591117,0,0.0368563872162526,0,0.0249148211465164,0.443528981316416,0,0.0807793524188992,0,0.123517029933097,0,0.0060477941400891
TCGA-OR-A5J9,0,0.0050618643910256,0,0.0724006561509971,0.123743699008794,0,0,0,0,0,0.0254757632705981,0.0750471510146861,0.26305741264061,0,0,0.406166702002876,0,0.0163841851442938,0.0126625663761193,0,0,0
TCGA-OR-A5JT,0.0409718766486699,0,0.0146223463251966,0.0606066570280158,0,0,0.260178452350649,0,0,0,0.0407963252993193,0.0209161873829509,0.046611878026369,0,0,0.358945169172304,0,0.0933026017569876,0,0.0630485060095378,0,0
TCGA-OR-A5JV,0,0.00949281424266207,0,0.0296332497813086,0,0,0.164421385618645,0.00219832170869666,0,0,0.0485453909757275,0,0.146147822800163,0,0.018395058146614,0.52893552450985,0,0.00379485072364895,0.0439243932653046,0,0.00306858873711981,0.00144259949025895
TCGA-OR-A5K8,0.0243979439771615,0,0.0945840762848068,0.268299868816711,0,0,0.100776386102585,0,0,0,0.0719511176165772,0.0214619421045447,0.0847811089757019,0,0,0.29546949072342,0,0.0209533346151747,0,0.0173247307833174,0,0
TCGA-OR-A5L5,0,0.0370323035889996,0.0201426435322736,0.184683872011749,0,0,0.169049007326993,0,0,0,0.0548814018498807,0,0.0529885376132012,0,0.0315630233623002,0.295292837178188,0,0.00168350466117161,0,0.152682868875243,0,0
TCGA-OR-A5LO,0,0.0468092924131594,0,0.163147805236942,0.158356909378759,0,0,0.0558977688189416,0,0,0.0459159447437325,0.0618811738257018,0.0742831029072713,0,0,0.304063150135289,0,0.078255904098528,0,0.0113889484416745,0,0
TCGA-OR-A5LT,0,0.02025406946897,0.00256418447981387,0.0530929095182305,0,0,0.309872195977316,0,0,0,0.0247457906925732,0.0297863494136964,0.0137878967880546,0,0,0.448651277853319,0,0.0771746420994082,0,0.0200706837086184,0,0
TCGA-PK-A5HB,0,0.0197282605265651,0.0146646062000616,0,0.0136248817133316,0,0.225556865042233,0.000754930498436562,0,0,0,0.065301531045274,0.0660122485848194,0,0,0.299668267651405,0,0.237543673210484,0,0.0571447355273898,0,0
TCGA-OR-A5J8,0,0.00543224304704428,0,0.163549976378989,0,0,0.0971423724804537,0.0386282887642313,0.00922359248642068,0,0.0256261099298759,0,0.0143918257531245,0,0.0660091419408387,0.536624931571936,0.00179123667422082,0,0,0.0338273385545089,0,0.00775294241835666
TCGA-OR-A5JX,0.0471216036751226,0.0493454818055915,0,0.0441739344725387,0,0,0.16355594144398,0,0,0,0.0245611354139643,0.0821074990309509,0.107912532579187,0,0.019006241315852,0.409947119184233,0,0.0120009849363154,0,0.0402675261422643,0,0
TCGA-OR-A5K3,0.0346483459468535,0,0,0.100898469099771,0,0,0.0927976970923375,0.0105938980651887,0,0,0.0059752324610813,0.0155800247376541,0.0696248833357078,0,0,0.439679117916009,0,0.20101877699006,0,0.0291835543553367,0,0
TCGA-OR-A5K9,0,0.0115378901250882,0.00513896149189326,0.0821103695709258,0.0432719700933242,0,0.22947742441834,0,0,0,0.0024892362511656,0.0845174538876959,0.0441494057323784,0,0,0.2871548317618,0,0.150058505496897,0,0.0600939511704919,0,0
TCGA-OR-A5KU,0.157957057749433,0,0,0,0.0593002372905702,0,0.223863302438295,0,0,0,0.0147566257336836,0.0307098362963366,0.0552277535696883,0,0,0.337306794586427,0,0.095788075745386,0,0.0250903165901794,0,0
TCGA-OR-A5LG,0.0111253802716145,0.0071688759108301,0.0079818849043052,0.139842291714935,0,0,0.142742360497331,0.00161424400946181,0,0,0.0315575664800679,0.00790616960876538,0.06811696589862,0,0,0.448243225146278,0,0.00746417664399289,0,0.126236858913799,0,0
TCGA-PK-A5HA,0.0109967637902312,0,0.00381311633516584,0.116870615476457,0,0.00549885308390477,0.0201070170787877,0.0144227266351413,0.0107749984235307,0,0,0.010742743460094,0.0406529640134432,0,0,0.692738445644591,0.00912960626307857,0,0,0.0642521497955745,0,0
TCGA-OR-A5J5,0,0.0718814897838294,0.000143401001396499,0.0612111630296932,0.00954568898445817,0,0.165922602367388,0,0,0,0.0204285600504033,0.0801780035132421,0.0407463897142857,0.0647186371123795,0,0.438330347962532,0,0.0187735512480272,0,0.028120165232365,0,0
TCGA-OR-A5JA,0.0166655817705649,0,0.00367558111386459,0.173087721620273,0.0226832809047909,0,0.249474906316879,0,0,0,0.05533053253734,0,0.0840584896092177,0,0,0.317556250956228,0,0.0388581140969015,0,0.0370877473961822,0,0.00152179367775858
TCGA-OR-A5JC,0.00218992594690978,0.00464759878167632,0.0012984259241516,0.161110330438463,0,0,0.137723019294681,0.00449944146923325,0,0,0.0547222974183276,0.00857170599468825,0.0615625013410099,0,0.0137268576319197,0.415378002337862,0.00187180118716263,0.00610230211559471,0,0.12659579011832,0,0
TCGA-OR-A5JI,0,0.015952910800561,0.018967438018344,0.227581787843829,0,0,0.123479324828276,0.0433464785291847,0.0674752672687942,0,0.0492941741623441,0,0.0538601771605314,0,0.0153710639666244,0.278224480412073,0.000266645419609602,0.00469691336721326,0,0.101483338222615,0,0
TCGA-OR-A5K5,0.0541487190754965,0,0.0189716588937025,0.0375939942476218,0,0,0.0443296736400054,0.0838087554132708,0,0,0.0260327743316639,0.134449513262536,0.0730374598702032,0.00413290951570052,0,0.151582885244781,0,0.321237133073785,0,0.0458941938369262,0.00149169821340757,0.00328863138089915
TCGA-OR-A5KT,0.040640668116269,0.0172494903905444,0.10609017956612,0.123350868554505,0,0,0.0625394277503137,0.0108249487627646,0.00816401086697957,0,0.00629491944382817,0.0584916632293096,0.129534600554329,0,0.00581659249007958,0.404884388586391,0,0,0,0.0261182416885654,0,0
TCGA-OR-A5KW,0.0115984997351066,0,0,0.147879793264216,0,0,0.0472992966725688,0.0111911078701885,0,0,0.0146178180932914,0.00354318859561619,0.12765967865698,0,0,0.281204938056926,0,0.0905619807168933,0,0.210964066080024,0.0534796322581893,0
TCGA-OR-A5KY,0.0247952342111547,0,0.00441809789676091,0.0515060308620318,0,0,0.225891660478804,0,0,0,0.0325471327581996,0,0.099327106082377,0,9.975026684229e-05,0.486399668482465,0,0.0428273372497655,0.017418491096854,0,0.0147694906147457,0
TCGA-OR-A5LC,0,0.0394983319816721,0.0487922487032456,0.0315276655613999,0,0,0.188679037095128,0.0163179767061833,0.00663279293945949,0,0,0.0964467693948552,0.0396412871302424,0.237024137906702,0.0038049145373291,0.168764871283299,0,0.00619740734185138,0,0.116672559418633,0,0
TCGA-OR-A5LN,0.0366890712070877,0,0.00404783882526292,0.254257421070417,0,0,0.0843368873961759,0.04429612509387,0.0619125080848116,0,0.0167211666889925,0.00788288193519058,0.0261814244401207,0,0.00541479743399245,0.417336031380598,0,0.00988724813682288,0,0.0310365983066576,0,0
TCGA-OR-A5LS,0.0218322722662633,0.0170609071708412,0.0931525822133712,0.00075688256750656,0.226573107885477,0,0.0638625095630858,0,0,0,0.016436489882423,0.0363960058578887,0.0478449882305203,0,0,0.370855798226802,0,0.0779226839286486,0,0.0273057722071721,0,0
TCGA-P6-A5OF,0.0410072340585542,0,0,0.0216202103030666,0.00953553015568971,0,0.218183465324153,0,0,0,0.0207754761832022,0.055698774049265,0.133116369983464,0,0,0.412560832673517,0,0.0421289632071313,0,0.0429236916516247,0.00244945241033251,0
TCGA-PK-A5H8,0,0.0169785412680362,0,0.0273796877034118,0,0,0.206535545782465,0.00452631454475126,0,0,0.0917678717186847,0,0.107543415288488,0,0,0.423374307707301,0,0.017146642294388,0.100450960220082,0,0.0042967134723927,0
TCGA-OR-A5JD,0.0146065890886528,2.34224496435732e-05,0,0.104888114218716,0,0,0.174894884809057,0.0179279942549479,0,0,0.070306381643161,0,0.0861045776679024,0,0.00163654525951101,0.329551512178123,0,0.00932955071367044,0.190730427716615,0,0,0
TCGA-OR-A5JK,0.014294469806374,0.0116559802175266,0.00528160434040793,0.401110318047713,0,0,0.0166126880063824,0.100375799330375,0.0826776231111137,0,0.0361945358527849,0,0.0519845954601734,0,0.0601538854948531,0.219356666809949,0,0,0.000301833522347097,0,0,0
TCGA-OR-A5JO,0,0.0111753647780535,0.0114409286373329,0.105273495126388,0,0,0.104745483854691,0.0110312910024323,0.0150594497794304,0,0.0939697091136908,0,0.033412073275279,0,0.0237073618418462,0.376184804719607,0.00566067433970022,0,0,0.208339363531548,0,0
TCGA-OR-A5LB,0,0.0279163296315864,0,0.0703683764484311,0,0,0.391653648873293,0.00164519023313483,0,0,0.041976321906111,0,0.120965917282394,0.0684988268672614,0.0118698753744114,0.0478526464584132,0,0.0122417737250208,0,0.11862485502893,0.086386238171012,0
TCGA-OR-A5LE,0,0.0109397839786592,0.00625170162272268,0.0332859061405615,0,0,0.120285346042008,0.0626450574241339,0,0,0.0304945642125333,0,0.0437896942593037,0.128297304346282,0,0,0,0.377549080557576,0,0.181012787881984,0.0054487735342368,0
TCGA-OR-A5LL,0.154267042906007,0,0.0419815800725708,0.115662324139524,0.0710326265173962,0,0.196540622822466,0,0,0,0.0432029954890383,0,0.0265077213093819,0,0,0.198315510966076,0,0.0447374465421924,0,0.107752129235347,0,0
TCGA-OR-A5LM,0.0204874968575757,0,0,0.107247363958622,0.0143364566343398,0,0.10089744886687,0,0,0,0,0.0528351390280394,0.0428674923503448,0,0,0.570953020016872,0,0.0579227600013243,0,0.0292987601640537,0.00315406212195789,0
TCGA-PK-A5H9,0.00917364107573394,0.00308571921204134,0.0246438501225867,0.0634466456105063,0,0,0.142123640997816,0.074405883599748,0,0,0.0638616369086622,0,0.120520681524927,0,0.0178925958539424,0.337404999055531,0,0.00345027476835735,0,0.139990431270148,0,0
TCGA-OR-A5J3,0.101665747052363,0,0.000224489457960889,0.0173440249670789,0.143165162514889,0,0.110012860591479,0,0,0,0.0803192507385005,0.00330719527198568,0.050090359945793,0,0,0.252791915218424,0,0.156532572257614,0,0.0845464219839123,0,0
TCGA-OR-A5J6,0,0.0150169800102612,0.000336609058708437,0.0536994130119534,0,0,0.134202569360224,0.00146072608399806,0,0,0.0140867996579459,0,0.0756319547943102,0,0.000419130219158373,0.590038954016539,0.00795525844635671,0.00706592179706101,0,0.0963310567002862,0,0.0037546268431974
TCGA-OR-A5JB,0.0450840039386794,0,0.0244614603221017,0.217174250066591,0,0.0599934866563745,0.0356299749506669,0.068539095416998,0.0252435630679243,0,0.0127496885010974,0.02979286324903,0.0105561727834114,0,0.121409969755158,0.253876175411957,0.00895429384816811,0,0.0865350020318414,0,0,0
TCGA-OR-A5JE,0.000969737853170942,0,0,0.0737290969275125,0,0,0,0.0520487914992638,0.00171768214746704,0,0.0465786907401577,0,0.130220268710986,0,0,0.307805227548541,0,0.20144061672264,0.132497138388712,0,0.0529927494615478,0
TCGA-OR-A5JG,0.0485287075964894,0,0.0160518140022072,0.0460989031765703,0.0270373398780985,0,0.290681823001288,0,0,0,0.0431665824365932,0.0291576826269054,0.0467029017826167,0,0.00718890937181067,0.363861297686544,0.00271481695554838,0.0261245461033553,0,0.0327881677315881,0.0102897269448191,0.00960678070556603
TCGA-OR-A5JL,0.0185217366200508,0,0.0424164826790461,0.119416150837317,0.0541188962781897,0,0.164190082256337,0,0,0,0.0696762742538494,0,0.192672913757484,0,0,0.302395713770432,0,0.0121359203066277,0.0105042988382015,0,0.0139515304024661,0
TCGA-OR-A5JY,0,0.0367105153865706,0,0,0,0,0.34015263480982,0.0180876655212548,0.0137030292876769,0,0.0432023509318007,0,0.0603793747969841,0,0,0.154114277820448,0,0.22096952813744,0,0.0905160098621475,0,0.0221646134458574
TCGA-OR-A5KX,0,0.0287273974356859,0.00210750465951512,0.0538136377313899,0,0,0.223835009598624,0,0,0,0.035820552472624,0.0445239640776203,0.26301179129388,0,0,0.187700535231764,0,0.00405679860266947,0,0.156402808896228,0,0
TCGA-OR-A5L4,0,0.0259404136450447,0,0.102800189508462,0,0,0.233765167857525,0,0,0,0.0134274899532208,0.045251008072055,0.0742820862125129,0,0.0252552252644419,0.405136126502116,0,0.0123628347033316,0,0.0617794582812902,0,0
TCGA-OR-A5L9,0.0134893048914702,0.014107787528431,0.0211626623036977,0.109999212807414,0,0,0.243484457654021,0,0.00524199596409288,0,0,0.0390569996491013,0.0830990704141238,0,0.0157324056846346,0.327109836439182,0,0.00858815640945555,0,0.118928110254377,0,0
TCGA-OR-A5LR,0.00301635533197427,0.00134410489549469,0.076172933992681,0.0816804085427877,0,0,0.260578155493086,0.00416028035549482,0,0,0.0310270499071836,0.0168319500926544,0.0892983530477916,0,0.0137828673391242,0.322462228633514,0,0.00991844607109473,0,0.0897268662971187,0,0
TCGA-OR-A5J1,0.0594746649337632,0,0.0106850481266842,0.135295432538644,0,0,0.271379490677737,0.000549534543574749,0,0,0.00507247131989246,0.0219880723064265,0.104791611013931,0,0,0.25651221186718,0,0.0202786884850327,0,0.113972774187134,0,0
TCGA-OR-A5J7,0.0735191754844381,0,0,0.0458546371033124,0,0,0.33912481291777,0.00938792389978373,0,0,0.0575119872552751,0.104364262778986,0.128603732241044,0.0544205130974844,0,0.00449772836612144,0,0.0558358544243462,0,0.0661853948716727,0.0606939775597664,0
TCGA-OR-A5K1,0.00461760837692371,0,0.0501534990435797,0.0673735706785865,0,0,0.286036217890359,0.00833333138296132,0,0,0.108505619431029,0.0160800593522719,0.0868537446780278,0,0.0327858214143622,0.243409973471747,0,0.0296687145128238,0,0.0661818397673271,0,0
TCGA-OR-A5LH,0.0381795167917281,0.0472990819437983,0,0.198591397898346,0,0,0.0652400078740441,0.0433099242178856,0,0,0.101880403764682,0,0.140177691223416,0,0.0120810894225892,0.287939269067812,0,0.000576289395095899,0.0647253284006028,0,0,0
